new entry "ProjectileStrike_OdinNECRO_Stormbolt_BloodStorm"
type "SkillData"
data "SkillType" "ProjectileStrike"
data "ForGameMaster" "No"
data "IsEnemySkill" "Yes"
data "Ability" "Death"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "Damage Multiplier" "90"
data "Damage Range" "10"
data "DamageType" "Physical"
data "SkillProperties" "CreateSurface,1,,Blood;Douse;DISEASED,100,2;DECAYING_TOUCH,100,2"
data "TargetRadius" "13"
data "AreaRadius" "2"
data "DeathType" "DoT"
data "ExplodeRadius" "2"
data "StrikeCount" "1"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "ForceTarget" "Yes"
data "TargetConditions" "Enemy"
data "OverrideSkillLevel" "No"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "TargetProjectiles" "Yes"
data "ProjectileCount" "1"
data "ProjectileDelay" "0"
data "Angle" "0"
data "Height" "15"
data "SingleSource" "Yes"
data "Template" "71f2352f-bd73-4494-a6f9-58b14b794f8a"
data "Icon" "unknown"
data "PrepareAnimationInit" "skill_prepare_voodoo_01_start"
data "PrepareAnimationLoop" "skill_prepare_voodoo_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Lightning_Prepare_Ground_02,KeepRot;RS3_FX_Skills_Air_Lightning_Prepare_Hand_03:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_target_voodoo_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Lightning_Cast_Ground_01,KeepRot;RS3_FX_Skills_Air_Lightning_Cast_Hand_02:Dummy_L_HandFX"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "Distribution" "EdgeCenter"
data "Shuffle" "No"
data "PreviewStrikeHits" "No"

