new entry "Rain_Blood"
type "SkillData"
data "SkillType" "Rain"
data "ForGameMaster" "Yes"
data "Ability" "Death"
data "ActionPoints" "1"
data "Cooldown" "6"
data "Lifetime" "1"
data "SurfaceType" "Blood"
data "SurfaceStatusChance" "100"
data "SkillProperties" "DECAYING_TOUCH,100,1;BLEEDING,100,1;Douse"
data "TargetRadius" "8"
data "TargetConditions" "Character;Enemy"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "AreaRadius" "8"
data "TotalSurfaceCells" "120"
data "SurfaceGrowStep" "5"
data "SurfaceGrowInterval" "150"
data "MemorizationRequirements" "Necromancy 1; WaterSpecialist 1;"
data "Icon" "Skill_Decay_BloodRain"
data "DisplayName" "Rain_Blood_DisplayName"
data "DisplayNameRef" "Raining Blood"
data "Description" "Rain_Blood_Description"
data "DescriptionRef" "Sacrifice <font color='#B823CB'>5% current Vitality</font> ([1] <font color='#C80030'>Vitality</font>) to cast this spell.<br><br>Call a terrible downpour, creating <font color="#c80030">Blood surfaces</font> which spread and douse <font color="#fe6e27">flames</font>. <br><br>Sets <font color='#c80030'>Bleeding</font> and <font color="#B823CB">Decaying</font> on all characters."
data "StatsDescription" "Rain_Blood_StatsDescription"
data "StatsDescriptionRef" "Skill:Target_OdinNECRO_StatSkill_Vit_15:Damage;"
data "StatsDescriptionParams" "Skill:Target_OdinNECRO_StatSkill_Vit_5:Damage;"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_water_01_start"
data "PrepareAnimationLoop" "skill_prepare_water_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Voodoo_Prepare_Voodoo_Blood_Root_01,KeepRot,Detach;RS3_FX_Skills_Voodoo_Prepare_Voodoo_Blood_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_aoe_water_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Voodoo_Cast_AoE_Water_Root_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "RainEffect" "RS3_FX_Environment_Rain_Blood_01"
data "ConsequencesStartTime" "1000"
data "CycleConditions" "Enemy;!Dead"

