new entry "Teleportation_LastRites"
type "SkillData"
data "SkillType" "Teleportation"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Death"
data "Tier" "Master"
data "ActionPoints" "3"
data "Cooldown" "-1"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "TargetRadius" "13"
data "AreaRadius" "13"
data "TeleportDelay" "500"
data "SkillProperties" "SELF:OnHit:LAST_RITE,100,0;Resurrect,100,100;"
data "TargetConditions" "Player;Dead;!Tagged:BLOCK_RESURRECTION"
data "TeleportSelf" "No"
data "CanTargetCharacters" "No"
data "CanTargetItems" "No"
data "CanTargetTerrain" "Yes"
data "MemorizationRequirements" "Necromancy 4"
data "Icon" "Skill_Decay_LastRites"
data "DisplayName" "Teleportation_LastRites_DisplayName"
data "DisplayNameRef" "Last Rites"
data "Description" "Teleportation_LastRites_Description"
data "DescriptionRef" "Suffer [1] to resurrect target <font color='#88a25b'>ally</font> to <font color="#97fbff">100% Vitality</font>."
data "StatsDescriptionParams" "Potion:Stats_LastRites:Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_soul_01_start"
data "PrepareAnimationLoop" "skill_prepare_soul_01_loop"
data "PrepareEffect" "RS3_FX_Soul_Prepare_Soul_LastRites_Hand_01:Dummy_R_Hand;RS3_FX_Soul_Prepare_Soul_LastRites_Hand_02:Dummy_R_Hand,Dummy_L_Hand;RS3_FX_Soul_Prepare_Soul_LastRites_Hand_Loop_01:Dummy_R_Hand"
data "CastAnimation" "skill_cast_target_soul_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Hand_Cast_01:Dummy_L_HandFX:cast;RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Body_01:Dummy_BodyFX:cast"
data "PreviewEffect" "RS3_FX_UI_TargetPreviewer_Soul_01"
data "DisappearEffect" "RS3_FX_GP_Combat_Death_Generic_Dissolve_01,Detach;RS3_FX_GP_Combat_Death_Generic_Dissolve_Body_01"
data "ReappearEffect" "RS3_FX_GP_Combat_Resurrect_Generic_01:Dummy_BodyFX"
data "CycleConditions" "Player;Dead;!Tagged:BLOCK_RESURRECTION"

